,Symbol,12 days Return
0,ALLY,0.0999050893520783
1,AMZN,0.09896089417406714
2,AXP,0.09457455884508331
3,AON,0.08835066391576311
4,AAPL,0.09622309838693087
5,BATRK,0.09702176627725007
6,BAC,0.08528944132549497
7,BYDDF,0.10042929805986582
8,COF,0.1142586110906638
9,CHTR,0.08300505620064386
10,CVX,0.11077125416452654
11,C,0.08883337507842995
12,KO,0.09467827080632289
13,DHI,0.1008857603580826
14,DVA,0.09974911736985317
15,DEO,0.09667115613727335
16,FND,0.09932366544168138
17,GL,0.0967405552816714
18,HPQ,0.10036573933803289
19,8001.T,0.09811590979885444
20,JEF,0.09643071140166103
21,KHC,0.09838156940381654
22,KR,0.09633654033737486
23,LEN-B,0.10259709435328046
24,LILA,0.10014503392129423
25,LILAK,0.09262348786948728
26,FWONK,0.08917299834907333
27,LSXMA,0.09918520215506123
28,LSXMK,0.09433314458620759
29,LLYVA,0.09100532992460109
30,LLYVK,0.10399916867328159
31,LPX,0.10392957590378865
32,MKL,0.0986292275922114
33,8002.T,0.09399250650730981
34,MA,0.09685459867140578
35,8058.T,0.10115665516979244
36,8031.T,0.10111473936280163
37,MCO,0.09034672968643125
38,NU,0.08278494506262993
39,NVR,0.09469406956451046
40,OXY,0.09106178607093544
41,PARA,0.10432784697760292
42,SIRI,0.09588858892222982
43,SNOW,0.09881761154286547
44,SPY,0.0955896316186972
45,STNE,0.0915607732200649
46,8053.T,0.10328727314826398
47,TMUS,0.08465308273238671
48,VOO,0.09764640196039649
49,VRSN,0.07946263858797999
50,V,0.10038359716279698
